order_id,customer_id,order_date,status,region_code
1,,2026-09-25 15:19:31,DELIVERED,EAST
2,106,2025-11-06 22:14:02,SHIPPED,NORTH
3,298,2025-02-10 01:13:31,DELIVERED,WEST
4,138,2025-07-10 04:30:29,DELIVERED,SOUTH
5,414,2026-08-24 15:19:31,PLACED,NORTH
6,174,2026-04-26 00:27:40,DELIVERED,WEST
7,262,2025-09-10 04:12:24,DELIVERED,NORTH
8,21,2024-08-13 08:37:16,DELIVERED,NORTH
9,486,2026-05-15 22:55:45,DELIVERED,NORTH
10,104,2025-01-29 22:10:27,DELIVERED,SOUTH
11,108,2025-10-13 07:27:24,SHIPPED,NORTH
12,205,2025-07-22 15:45:34,RETURNED,EAST
13,303,2025-06-04 18:22:55,RETURNED,WEST
14,3,2026-08-15 15:19:31,CANCELLED,WEST
15,93,06-10-2024,DELIVERED,EAST
16,468,2025-10-21 12:30:26,DELIVERED,NORTH
17,41,2025-02-03 21:59:56,DELIVERED,WEST
18,98,2025-09-12 23:32:08,PLACED,SOUTH
19,175,2025-11-04 21:14:45,RETURNED,EAST
20,96,2025-09-20 10:28:50,PLACED,WEST
21,279,2026-04-03 23:44:09,DELIVERED,WEST
22,171,2024-09-13 21:25:34,PLACED,SOUTH
23,605,2024-11-25 10:57:40,DELIVERED,CENTRAL
24,368,2025-11-29 08:44:30,CANCELLED,SOUTH
25,500,2024-09-04 23:34:52,PLACED,EAST
26,13,2026-04-24 20:43:49,DELIVERED,CENTRAL
27,230,2025-12-09 09:16:06,SHIPPED,CENTRAL
28,98,2026-04-13 07:28:19,DELIVERED,WEST
29,572,2025-03-15 03:56:21,PLACED,SOUTH
30,481,2026-06-12 11:32:52,PLACED,WEST
31,339,13-09-2024,SHIPPED,WEST
32,241,2025-06-09 17:41:38,DELIVERED,NORTH
33,458,2024-12-17 08:46:13,DELIVERED,NORTH
34,423,2025-12-13 02:34:23,CANCELLED,CENTRAL
35,312,2025-10-29 13:08:15,DELIVERED,WEST
36,373,2025-12-27 07:05:24,CANCELLED,EAST
37,485,2025-10-17 18:30:57,DELIVERED,NORTH
38,228,2026-09-01 15:19:31,RETURNED,EAST
39,383,07-03-2026,SHIPPED,SOUTH
40,420,2024-12-16 18:14:04,SHIPPED,WEST
41,196,2025-07-07 18:34:10,DELIVERED,CENTRAL
42,462,2025-10-06 01:57:51,DELIVERED,WEST
43,,2026-06-20 14:03:44,DELIVERED,CENTRAL
44,521,2024-10-16 04:27:02,DELIVERED,SOUTH
45,132,2025-03-15 18:53:32,DELIVERED,EAST
46,394,2025-05-05 09:23:15,DELIVERED,SOUTH
47,352,2025-05-12 23:11:17,PLACED,WEST
48,525,2024-09-27 14:06:17,CANCELLED,CENTRAL
49,206,2025-06-17 07:26:30,DELIVERED,SOUTH
50,183,2025-09-15 06:24:00,SHIPPED,NORTH
51,576,2025-03-11 01:36:28,DELIVERED,WEST
52,547,2024-11-15 10:35:50,CANCELLED,CENTRAL
53,391,2025-12-29 13:32:23,SHIPPED,SOUTH
54,257,25-02-2025,DELIVERED,SOUTH
55,34,2025-08-29 03:50:26,DELIVERED,CENTRAL
56,575,2025-08-27 09:39:02,DELIVERED,EAST
57,49,2025-12-30 10:45:14,RETURNED,EAST
58,56,2026-08-26 15:19:31,CANCELLED,WEST
59,377,2025-10-30 06:02:15,DELIVERED,SOUTH
60,182,28-10-2024,RETURNED,CENTRAL
61,42,2026-01-24 05:03:19,PLACED,CENTRAL
62,6,2025-11-11 14:45:22,SHIPPED,SOUTH
63,53,2026-07-31 06:44:00,CANCELLED,EAST
64,587,28-07-2025,DELIVERED,CENTRAL
65,189,2025-12-25 04:57:41,SHIPPED,CENTRAL
66,95,2026-06-22 08:20:45,DELIVERED,EAST
67,224,2026-07-30 14:45:55,DELIVERED,CENTRAL
68,10,2025-03-06 22:38:06,SHIPPED,CENTRAL
69,250,2025-10-27 21:46:36,SHIPPED,NORTH
70,554,28-03-2025,DELIVERED,EAST
71,521,27-08-2025,CANCELLED,SOUTH
72,85,2026-08-06 00:05:39,RETURNED,CENTRAL
73,68,2025-04-24 15:23:32,SHIPPED,WEST
74,211,2024-11-11 21:52:25,RETURNED,WEST
75,74,2025-09-24 03:38:25,DELIVERED,EAST
76,,2025-08-23 19:02:16,SHIPPED,NORTH
77,234,2025-11-13 17:13:46,DELIVERED,WEST
78,18,2025-08-03 22:09:25,PLACED,CENTRAL
79,600,2024-12-18 13:51:09,DELIVERED,CENTRAL
80,309,2025-10-28 07:36:52,RETURNED,WEST
81,32,2026-01-08 18:24:49,PLACED,WEST
82,559,2026-07-25 11:40:49,SHIPPED,EAST
83,12,2024-08-10 07:31:16,PLACED,NORTH
84,404,2024-08-26 16:19:49,SHIPPED,EAST
85,525,2025-11-09 01:04:58,DELIVERED,EAST
86,186,2024-11-03 07:13:20,PLACED,CENTRAL
87,563,2026-04-20 15:45:27,SHIPPED,SOUTH
88,499,2026-03-16 05:23:01,DELIVERED,SOUTH
89,72,2026-08-08 21:33:57,DELIVERED,CENTRAL
90,599,2025-06-07 14:34:32,CANCELLED,WEST
91,321,2025-04-09 23:41:27,DELIVERED,WEST
92,369,2025-09-22 12:44:27,CANCELLED,WEST
93,313,2025-11-17 20:12:41,DELIVERED,NORTH
94,144,2024-08-17 09:51:48,DELIVERED,NORTH
95,20,2025-01-03 02:55:17,CANCELLED,CENTRAL
96,605,02-03-2025,SHIPPED,CENTRAL
97,153,2026-03-09 09:08:00,DELIVERED,EAST
98,514,2025-03-21 23:31:33,DELIVERED,SOUTH
99,170,2025-08-14 06:50:40,SHIPPED,CENTRAL
100,150,2025-04-02 18:40:57,DELIVERED,SOUTH
101,238,2024-08-13 15:17:44,PLACED,SOUTH
102,370,2025-12-23 03:32:56,CANCELLED,NORTH
103,332,2025-04-15 12:23:33,DELIVERED,EAST
