store_id,total_revenue
ST_10035,76246.27499999995
ST_10024,76014.93000000005
ST_10009,54383.01199999998
ST_94122,51848.857
ST_10011,45346.26000000002
ST_98105,41146.32999999999
ST_98115,40908.97800000002
ST_19134,38627.809
ST_90049,37544.723999999966
ST_90045,36998.92299999999
ST_98103,36467.081999999995
ST_32216,36287.848000000005
ST_94110,34494.62299999997
ST_90036,28776.241000000005
ST_19120,26108.95
ST_94109,24813.032000000003
ST_48205,22874.612000000005
ST_90004,22870.298000000003
ST_78207,21759.687999999995
ST_92037,21724.982999999997
ST_90032,21678.474499999997
ST_19140,21327.267999999996
ST_90008,20447.011499999993
ST_19143,20405.191999999992
ST_19711,20343.079999999994
ST_47905,19630.450000000004
ST_60623,18357.207
ST_77036,18253.999399999993
ST_77070,18219.610399999994
ST_30318,17172.609999999997
ST_22153,16505.56
ST_2908,15980.649999999996
ST_43229,15863.459
ST_77041,15253.385199999999
ST_60653,15023.500000000005
ST_65807,15014.080000000002
ST_8701,14852.04
ST_49201,14800.085999999998
ST_92105,14379.276
ST_22204,14366.759999999998
ST_55407,14289.739999999998
ST_31907,13802.66
ST_28205,13583.714999999998
ST_60610,12918.297999999993
ST_80219,12063.737000000003
ST_27217,12041.706
ST_53209,11389.599999999999
ST_48227,10765.92
ST_77095,10666.823199999995
ST_42420,10519.199999999999
ST_85023,10020.945000000003
ST_21044,9990.85
ST_75217,9720.652
ST_14215,9063.496
ST_46203,8902.699999999999
ST_11561,8459.799999999997
ST_48234,8165.4320000000025
ST_43055,8116.980999999998
ST_43130,8008.272999999998
ST_89031,7993.682000000001
ST_92804,7986.869999999999
ST_93727,7888.5284999999985
ST_5408,7634.619999999999
ST_39212,7426.6100000000015
ST_47201,7425.8200000000015
ST_60505,7420.958000000001
ST_92024,7380.2689999999975
ST_95823,7311.278
ST_10701,7294.746
ST_40214,7034.619999999999
ST_40475,6761.52
ST_32303,6753.683
ST_77340,6710.616800000002
ST_30076,6643.7599999999975
ST_76106,6602.706400000002
ST_73120,6567.36
ST_19805,6484.359000000001
ST_75081,6341.142800000001
ST_44105,6315.825000000002
ST_85705,6313.016
ST_68104,6305.49
ST_29203,6168.159999999999
ST_47374,6133.810000000001
ST_1841,6102.3820000000005
ST_37211,6047.127000000001
ST_21215,6044.0019999999995
ST_14609,6017.129999999998
ST_23320,5996.719999999999
ST_94601,5964.417999999999
ST_38109,5942.341
ST_78745,5933.1900000000005
ST_76017,5847.772000000001
ST_95123,5829.268999999999
ST_97477,5667.321
ST_45503,5599.471
ST_74133,5556.97
ST_28540,5554.5109999999995
ST_2038,5534.558999999999
ST_20735,5514.251
ST_22304,5496.610000000001
ST_36608,5462.99
ST_53711,5346.790000000001
ST_48640,5291.512000000001
ST_33614,5196.080500000001
ST_70506,5173.200000000001
ST_38401,5162.774
ST_23223,5141.259999999999
ST_28027,5111.844000000001
ST_94513,5090.1140000000005
ST_80027,5070.416
ST_7960,5033.099999999999
ST_23464,4995.330000000001
ST_6824,4935.576999999999
ST_90805,4872.810000000001
ST_78664,4854.0527999999995
ST_1852,4837.93
ST_33311,4812.772500000001
ST_2149,4811.998
ST_53132,4774.25
ST_41042,4559.8
ST_7060,4526.849999999999
ST_43615,4438.188999999999
ST_3820,4428.954000000001
ST_93101,4289.234
ST_55044,4260.95
ST_85234,4172.3820000000005
ST_13601,4044.9980000000005
ST_80013,4038.5420000000004
ST_2920,4024.916
ST_75220,4013.7014
ST_85204,4006.6360000000004
ST_91104,3951.1199999999994
ST_37918,3928.166
ST_33801,3919.1585000000005
ST_44134,3879.756
ST_11572,3851.126
ST_98226,3790.24
ST_79109,3773.0628000000006
ST_72701,3742.81
ST_36116,3722.73
ST_33142,3588.413
ST_79907,3546.0640000000003
ST_53142,3506.7799999999997
ST_59405,3479.56
ST_90301,3479.328000000001
ST_97206,3479.069
ST_98198,3454.4380000000006
ST_27604,3448.7640000000006
ST_92704,3366.310000000001
ST_75023,3362.4066
ST_92683,3356.2700000000004
ST_35601,3343.1400000000003
ST_23602,3321.9500000000003
ST_91505,3247.1580000000004
ST_72209,3192.39
ST_45373,3180.535
ST_28314,3169.844
ST_62521,3169.4729999999995
ST_61107,3166.2280000000005
ST_33180,3135.2850000000003
ST_90503,3132.268
ST_80906,3103.951000000001
ST_46060,3091.18
ST_84057,2994.0879999999997
ST_65203,2990.04
ST_30062,2938.6199999999994
ST_72401,2915.32
ST_92374,2891.0209999999997
ST_85301,2884.064999999999
ST_20016,2865.02
ST_3301,2827.6300000000006
ST_84604,2761.2340000000004
ST_44312,2729.9860000000003
ST_23666,2722.2599999999998
ST_94521,2602.9280000000003
ST_45014,2599.569
ST_1915,2583.19
ST_11550,2581.606
ST_89431,2561.96
ST_22980,2535.51
ST_92646,2527.82
ST_98026,2523.691999999999
ST_44256,2477.7219999999998
ST_77506,2477.4580000000005
ST_74012,2439.5299999999997
ST_2886,2426.84
ST_64055,2417.37
ST_43302,2408.214
ST_27405,2406.7799999999997
ST_30080,2390.3100000000004
ST_35810,2390.27
ST_43017,2379.1600000000003
ST_33012,2338.9489999999996
ST_87105,2220.16
ST_37042,2217.73
ST_55113,2215.52
ST_99301,2201.112
ST_22801,2144.23
ST_84062,2138.178
ST_97030,2133.424
ST_7501,2129.38
ST_6040,2126.2800000000007
